# id:ca142f00-e9fa-4abf-97e5-c0c6b3ba6de2
# 20150730_15h:03m
# /home/mweigand/.local/bin/dd_time.py -f data/frequencies.dat --times data/times.dat -d data/data.dat -o results_no_time --f_lambda 50 --tm_i_lambda 0 --trho0_lambda 0 --plot
#decade_loadings decade_loadings-1 decade_loadings-2 decade_loadings-3 decade_loadings-4 decade_loadings-5 tau_max rho0 tau_peak1 tau_geometric tau_peak2 tau_peaks_all tau_peaks_all-1 tau_peaks_all-2 tau_peaks_all-3 tau_peaks_all-4 f_max f_50 tau_arithmetic tau_mean tau_50 decade_bins decade_bins-1 decade_bins-2 decade_bins-3 decade_bins-4 decade_bins-5 decade_bins-6 m_tot f_geometric U_tau f_peak2 f_peak1 f_peaks_all f_peaks_all-1 f_peaks_all-2 f_peaks_all-3 f_peaks_all-4 f_arithmetic f_mean m_tot_n
0.006994 0.051294 0.195769 0.462864 0.229238 554.737586 1.180819 1.698643 -1.623705 -2.364109 -2.374917 -1.623705 -2.374917 -3.126128 nan nan 0.010495 37.734333 -1.190010 -2.364109 -2.374917 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.045403 36.806893 0.049877 37.734333 6.691524 6.691524 37.734333 212.788574 nan nan 2.465077 36.806893 -2.744046
0.005242 0.062365 0.165022 0.457714 0.242299 524.609212 1.180819 1.699807 -2.174593 -2.367773 -3.025967 -2.174593 -3.025967 -4.027582 nan nan 0.010495 33.624505 -1.173429 -2.367773 -2.324836 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.019973 37.118758 0.031447 168.961110 23.791048 23.791048 168.961110 1695.907894 nan nan 2.372732 37.118758 -2.719780
0.011475 0.033907 0.179577 0.469730 0.234705 552.597234 1.180819 1.698618 0.429607 -2.394658 -1.022736 0.429607 -1.022736 -2.124513 -2.925805 -3.977501 0.010495 33.624505 -1.105973 -2.394658 -2.324836 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.043735 39.489161 0.039604 1.677088 0.059185 0.059185 1.677088 21.199850 134.160665 1511.198404 2.031390 39.489161 -2.742353
0.002096 0.057851 0.188944 0.471065 0.228467 595.805777 1.180819 1.698665 -1.573624 -2.367991 -2.274755 -1.573624 -2.274755 -2.875724 nan nan 0.010495 33.624505 -1.406357 -2.367991 -2.324836 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.076402 37.137410 0.044445 29.962298 5.962718 5.962718 29.962298 119.548581 nan nan 4.056738 37.137410 -2.775067
0.008806 0.033756 0.218525 0.455508 0.211677 686.870822 1.180819 1.699300 -1.824028 -2.407805 -2.775563 -1.824028 -2.775563 -3.877340 nan nan 0.010495 42.346493 -1.045989 -2.407805 -2.424997 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.137531 40.702862 0.049877 94.925496 10.613244 10.613244 94.925496 1199.941118 nan nan 1.769332 40.702862 -2.836830
0.017991 0.030162 0.198954 0.468008 0.231668 616.215072 1.180819 1.698821 0.329445 -2.371452 -2.525159 0.329445 -2.525159 nan nan nan 0.010495 37.734333 -1.053647 -2.371452 -2.374917 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.090874 37.434547 0.039604 53.330911 0.074537 0.074537 53.330911 nan nan nan 1.800806 37.434547 -2.789695
0.010728 0.042249 0.186358 0.479712 0.236629 619.818517 1.180819 1.699244 -1.373301 -2.348407 -2.274755 -1.373301 -2.274755 -2.925805 nan nan 0.010495 29.962298 -1.085750 -2.348407 -2.274755 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.092990 35.499940 0.055973 29.962298 3.759423 3.759423 29.962298 134.160665 nan nan 1.938964 35.499940 -2.792234
0.002174 0.030534 0.193869 0.493401 0.219868 908.049886 1.180819 1.698473 -1.373301 -2.416688 -2.224674 -1.373301 -2.224674 -2.775563 -3.576855 nan 0.010495 33.624505 -1.483381 -2.416688 -2.324836 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.259608 41.543973 0.049877 26.698960 3.759423 3.759423 26.698960 94.925496 600.724414 nan 4.843967 41.543973 -2.958081
0.007288 0.063915 0.199709 0.485117 0.181883 792.678244 1.180819 1.698998 -0.772332 -2.351118 -1.874109 -0.772332 -1.874109 -2.725482 -3.827259 nan 0.010495 42.346493 -1.201051 -2.351118 -2.424997 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.200065 35.722187 0.031447 11.910470 0.942219 0.942219 11.910470 84.586704 1069.249756 nan 2.528545 35.722187 -2.899063
0.000396 0.106690 0.166197 0.469459 0.237327 984.147860 1.180819 1.698577 -0.622089 -2.287034 -1.723866 -0.622089 -1.723866 -2.324836 -3.426613 nan 0.010495 33.624505 -1.389770 -2.287034 -2.324836 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.294475 30.821532 0.022250 8.427264 0.666668 0.666668 8.427264 33.624505 425.043086 nan 3.904720 30.821532 -2.993052
0.013704 0.069194 0.148468 0.537471 0.194941 944.812960 1.180819 1.699014 -0.071201 -2.313598 -1.974270 -0.071201 -1.974270 -2.675401 -3.677017 nan 0.010495 37.734333 -1.047837 -2.313598 -2.374917 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.276315 32.765637 0.031447 14.999973 0.187509 0.187509 14.999973 75.373959 756.548603 nan 1.776877 32.765637 -2.975329
