# id:ba235051-0be1-4892-a5d8-ce14ff2f4bb5
# 20190930_13h:27m
# /home/mweigand/.virtualenvs/ccd/bin/ccd_time -f data/frequencies.dat --times data/times.dat -d data/data.dat -o results_no_time --f_lambda 50 --tm_i_lambda 0 --trho0_lambda 0 --plot
#U_tau decade_bins decade_bins-1 decade_bins-2 decade_bins-3 decade_bins-4 decade_bins-5 decade_bins-6 decade_loadings decade_loadings-1 decade_loadings-2 decade_loadings-3 decade_loadings-4 decade_loadings-5 f_50 f_arithmetic f_geometric f_max f_mean f_peak1 f_peak2 f_peaks_all f_peaks_all-1 f_peaks_all-2 f_peaks_all-3 f_peaks_all-4 m_tot m_tot_n rho0 tau_50 tau_arithmetic tau_geometric tau_max tau_mean tau_peak1 tau_peak2 tau_peaks_all tau_peaks_all-1 tau_peaks_all-2 tau_peaks_all-3 tau_peaks_all-4
14.185931 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 0.007021 0.051225 0.195762 0.462864 0.229237 554.768134 42.346493 2.453345 36.820446 0.010495 36.820446 6.691524 37.734333 6.691524 37.734333 212.788574 nan nan -1.045413 -2.744069 1.698657 -2.424997 -1.187938 -2.364269 1.180819 -2.364269 -1.623705 -2.374917 -1.623705 -2.374917 -3.126128 nan nan
22.499918 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 0.005363 0.062363 0.164990 0.457587 0.242252 524.355850 37.734333 2.339813 37.097044 0.010495 37.097044 23.791048 168.961110 23.791048 168.961110 1695.907894 nan nan -1.019807 -2.719571 1.699764 -2.374917 -1.167361 -2.367519 1.180819 -2.367519 -2.174593 -3.025967 -2.174593 -3.025967 -4.027582 nan nan
28.336257 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 0.011235 0.034005 0.179498 0.469554 0.234649 552.408374 37.734333 2.051967 39.617615 0.010495 39.617615 0.066419 1.677088 0.066419 1.677088 21.199850 150.558742 1511.198404 -1.043584 -2.742205 1.698621 -2.374917 -1.110350 -2.396068 1.180819 -2.396068 0.379526 -1.022736 0.379526 -1.022736 -2.124513 -2.975886 -3.977501
22.499918 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 0.002226 0.057431 0.188956 0.471159 0.228488 596.086837 37.734333 4.002860 37.208539 0.010495 37.208539 5.962718 29.962298 5.962718 29.962298 119.548581 nan nan -1.076534 -2.775272 1.698737 -2.374917 -1.400550 -2.368822 1.180819 -2.368822 -1.573624 -2.274755 -1.573624 -2.274755 -2.875724 nan nan
25.250019 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 0.008776 0.033817 0.218494 0.455430 0.211670 686.774043 47.522384 1.777149 40.722216 0.010495 40.722216 10.613244 94.925496 10.613244 94.925496 1199.941118 nan nan -1.137475 -2.836769 1.699294 -2.475078 -1.047904 -2.408011 1.180819 -2.408011 -1.824028 -2.775563 -1.824028 -2.775563 -3.877340 nan nan
22.499918 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 0.017333 0.030510 0.198983 0.468135 0.231734 616.510463 42.346493 1.819898 37.546899 0.010495 37.546899 0.083648 53.330911 0.083648 53.330911 nan nan nan -1.091051 -2.789903 1.698852 -2.424997 -1.058227 -2.372754 1.180819 -2.372754 0.279365 -2.525159 0.279365 -2.525159 nan nan nan
20.049344 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 0.010680 0.042254 0.186353 0.479729 0.236648 619.837877 33.624505 1.938503 35.512736 0.010495 35.512736 3.759423 29.962298 3.759423 29.962298 134.160665 nan nan -1.092995 -2.792247 1.699252 -2.324836 -1.085646 -2.348564 1.180819 -2.348564 -1.373301 -2.274755 -1.373301 -2.274755 -2.925805 nan nan
25.250019 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 0.002014 0.030733 0.193821 0.493392 0.219870 908.094463 37.734333 4.957345 41.570720 0.010495 41.570720 3.759423 26.698960 3.759423 26.698960 94.925496 600.724414 nan -1.259625 -2.958102 1.698477 -2.374917 -1.493429 -2.416967 1.180819 -2.416967 -1.373301 -2.224674 -1.373301 -2.224674 -2.775563 -3.576855 nan
31.799718 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 0.007033 0.064125 0.199689 0.484884 0.181651 792.145508 47.522384 2.650853 35.790177 0.010495 35.790177 0.942219 11.910470 0.942219 11.910470 84.586704 1069.249756 nan -1.199815 -2.898771 1.698956 -2.475078 -1.221566 -2.351944 1.180819 -2.351944 -0.772332 -1.874109 -0.772332 -1.874109 -2.725482 -3.827259 nan
15.919837 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 0.002106 0.102742 0.166623 0.470783 0.237783 987.124438 37.734333 3.321134 30.973252 0.010495 30.973252 0.666668 8.427264 0.666668 8.427264 33.624505 425.043086 nan -1.295436 -2.994363 1.698927 -2.374917 -1.319466 -2.289167 1.180819 -2.289167 -0.622089 -1.723866 -0.622089 -1.723866 -2.324836 -3.426613 nan
25.250019 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 0.013684 0.069194 0.148426 0.537452 0.194826 944.738102 42.346493 1.768003 32.786980 0.010495 32.786980 0.187509 14.999973 0.187509 14.999973 75.373959 756.548603 nan -1.276273 -2.975295 1.699022 -2.424997 -1.045663 -2.313881 1.180819 -2.313881 -0.071201 -1.974270 -0.071201 -1.974270 -2.675401 -3.677017 nan
