# id:9b877039-3a4d-44b2-b835-722ae1b23531
# 20150730_15h:25m
# /home/mweigand/.local/bin/dd_time.py -f data/frequencies.dat --times data/times.dat -d data/data.dat -o results_time --f_lambda 50 --tmi_first_order --tm_i_lambda 5000 --plot
#decade_loadings decade_loadings-1 decade_loadings-2 decade_loadings-3 decade_loadings-4 decade_loadings-5 tau_max rho0 tau_peak1 tau_geometric tau_peak2 tau_peaks_all tau_peaks_all-1 tau_peaks_all-2 tau_peaks_all-3 f_max f_50 tau_arithmetic tau_mean tau_50 decade_bins decade_bins-1 decade_bins-2 decade_bins-3 decade_bins-4 decade_bins-5 decade_bins-6 m_tot f_geometric U_tau f_peak2 f_peak1 f_peaks_all f_peaks_all-1 f_peaks_all-2 f_peaks_all-3 f_arithmetic f_mean m_tot_n
0.005943 0.046120 0.185141 0.475990 0.238348 565.162384 1.180819 1.700797 -1.523543 -2.372678 -2.274755 -1.523543 -2.274755 -2.925805 nan 0.010495 33.624505 -1.255119 -2.372678 -2.324836 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.051339 37.540302 0.055973 29.962298 5.313290 5.313290 29.962298 134.160665 nan 2.863779 37.540302 -2.752136
0.005947 0.046009 0.184720 0.477123 0.237785 581.548968 1.180819 1.712548 -1.573624 -2.372512 -2.274755 -1.573624 -2.274755 -2.925805 nan 0.010495 33.624505 -1.255310 -2.372512 -2.324836 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.052002 37.525975 0.055973 29.962298 5.962718 5.962718 29.962298 134.160665 nan 2.865039 37.525975 -2.764550
0.006113 0.046735 0.185144 0.475000 0.237667 593.472208 1.180819 1.708424 -1.573624 -2.372412 -2.274755 -1.573624 -2.274755 -2.925805 nan 0.010495 33.624505 -1.246645 -2.372412 -2.324836 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.064940 37.517311 0.055973 29.962298 5.962718 5.962718 29.962298 134.160665 nan 2.808439 37.517311 -2.773364
0.006406 0.048347 0.186578 0.470783 0.237057 616.572298 1.180819 1.703400 -1.573624 -2.370395 -2.274755 -1.573624 -2.274755 -2.925805 nan 0.010495 33.624505 -1.230707 -2.370395 -2.324836 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.086548 37.343531 0.055973 29.962298 5.962718 5.962718 29.962298 134.160665 nan 2.707243 37.343531 -2.789948
0.006765 0.050104 0.187098 0.465860 0.237535 623.539809 1.180819 1.683258 -1.573624 -2.370549 -2.274755 -1.573624 -2.274755 -2.925805 nan 0.010495 33.624505 -1.212802 -2.370549 -2.324836 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.111570 37.356784 0.049877 29.962298 5.962718 5.962718 29.962298 134.160665 nan 2.597896 37.356784 -2.794828
0.006864 0.050178 0.183635 0.473334 0.233688 679.256721 1.180819 1.713010 -1.573624 -2.369184 -2.274755 -1.573624 -2.274755 -2.925805 nan 0.010495 33.624505 -1.209591 -2.369184 -2.324836 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.118991 37.239535 0.049877 29.962298 5.962718 5.962718 29.962298 134.160665 nan 2.578760 37.239535 -2.832001
0.007182 0.051763 0.182690 0.476139 0.229045 735.215269 1.180819 1.726170 -1.573624 -2.363808 -2.274755 -1.573624 -2.274755 -2.875724 nan 0.010495 33.624505 -1.194449 -2.363808 -2.324836 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.140213 36.781360 0.049877 29.962298 5.962718 5.962718 29.962298 119.548581 nan 2.490399 36.781360 -2.866383
0.008068 0.057023 0.187332 0.459477 0.230404 714.987334 1.180819 1.661553 -1.573624 -2.358506 -2.274755 -1.573624 -2.274755 -2.875724 -3.576855 0.010495 33.624505 -1.152236 -2.358506 -2.324836 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.192710 36.335068 0.044445 29.962298 5.962718 5.962718 29.962298 119.548581 600.724414 2.259730 36.335068 -2.854263
0.008444 0.059287 0.186197 0.458737 0.228715 830.803408 1.180819 1.706739 -1.573624 -2.355052 -2.274755 -1.573624 -2.274755 -2.875724 nan 0.010495 33.624505 -1.136022 -2.355052 -2.324836 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.212729 36.047238 0.039604 29.962298 5.962718 5.962718 29.962298 119.548581 nan 2.176920 36.047238 -2.919468
0.009034 0.062862 0.188137 0.451857 0.227234 819.911649 1.180819 1.671223 -1.573624 -2.347935 -2.274755 -1.573624 -2.274755 -2.875724 nan 0.010495 33.624505 -1.110970 -2.347935 -2.324836 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.242512 35.461363 0.035290 29.962298 5.962718 5.962718 29.962298 119.548581 nan 2.054896 35.461363 -2.913735
0.009169 0.063073 0.184781 0.456508 0.225601 859.553596 1.180819 1.685732 -1.573624 -2.348851 -2.274755 -1.573624 -2.274755 -2.875724 nan 0.010495 33.624505 -1.107258 -2.348851 -2.324836 0.010000 0.100000 1.000000 10.000000 100.000000 1000.000000 10000.000000 -1.248510 35.536185 0.035290 29.962298 5.962718 5.962718 29.962298 119.548581 nan 2.037408 35.536185 -2.934242
